TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;47.457.073/0001-70;2023-07-03;139496630.16;385.290863070000;141328391.34;0.00;0.00;1
FI;47.457.364/0001-69;2023-07-03;410450828.32;1.100707500000;410477757.02;0.00;15256740.74;1
FI;47.457.540/0001-62;2023-07-03;33261416.20;1.122388700000;33274199.22;0.00;0.00;2
FI;47.457.832/0001-03;2023-07-03;18040942.85;1136.151057100000;17951186.70;0.00;0.00;9
FI;47.458.122/0001-90;2023-07-03;1367120.85;0.948605000000;1365991.14;0.00;0.00;11
FI;47.465.189/0001-51;2023-07-03;23102133.57;1.072416500000;23111299.56;0.00;0.00;1
FI;47.465.999/0001-08;2023-07-03;22871234.46;1.084100700000;22874524.79;0.00;0.00;1
FI;47.466.054/0001-00;2023-07-03;7186035.99;1.072669700000;7186886.73;0.00;0.00;1
FI;47.466.113/0001-40;2023-07-03;18371009.68;1085.679905070000;18363983.17;110710.79;8650.00;240
FI;47.489.082/0001-43;2023-07-03;11828236.65;1.083754600000;11825821.21;0.00;0.00;1
FI;47.489.311/0001-20;2023-07-03;41138739.32;2.019630800000;41131141.68;0.00;0.00;1
FI;47.489.373/0001-31;2023-07-03;25122963.55;1.004427000000;25120877.21;0.00;0.00;1
FI;47.489.553/0001-13;2023-07-03;35410032.98;1.056286600000;35409228.95;0.00;0.00;1
FI;47.489.573/0001-94;2023-07-03;365976490.23;0.933089880000;366007910.43;0.00;0.00;2
FI;47.489.630/0001-35;2023-07-03;8203837.10;1.324384900000;8202083.70;0.00;0.00;3
FI;47.489.688/0001-89;2023-07-03;38980598.80;103.867371200000;38912248.75;0.00;0.00;1
FI;47.489.831/0001-32;2023-07-03;12586488.56;1.033152100000;12478500.08;25900.00;0.00;137
FI;47.489.915/0001-76;2023-07-03;7279555.36;1.005688000000;7281692.51;0.00;0.00;1
